City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lihue,21.9789,-159.3672,80.19,84,100,17.27,US,1690094896
84,bathsheba,13.2167,-59.5167,81.21,83,20,16.11,BB,1690094896
85,vadso,70.0744,29.7487,50.16,87,100,16.11,NO,1690094897
86,ust-nera,64.5667,143.2,67.93,44,100,0.76,RU,1690094898
87,bilibino,68.0546,166.4372,81.81,34,57,12.26,RU,1690094898
88,hawaiian paradise park,19.5933,-154.9731,75.04,97,100,4.61,US,1690094899
89,puerto natales,-51.7236,-72.4875,25.27,92,14,3.91,CL,1690094900
90,mount isa,-20.7333,139.5,64.17,27,0,18.41,AU,1690094900
91,yanam,16.7333,82.2167,90.97,58,52,10.56,IN,1690094901
92,labytnangi,66.6572,66.4183,63.61,88,100,5.01,RU,1690094901
93,tromso,69.6496,18.957,61.38,72,40,5.75,NO,1690094902
94,ati,13.2154,18.3353,78.87,70,98,8.72,TD,1690094903
95,atafu village,-8.5421,-172.5159,83.88,75,25,11.43,TK,1690094903
96,praia da vitoria,38.7333,-27.0667,71.85,94,40,8.19,PT,1690094904
97,mocimboa,-11.3167,40.35,77.23,64,100,14.36,MZ,1690094904
98,port alfred,-33.5906,26.891,56.17,84,10,4.0,ZA,1690094905
99,bayanaul,50.7889,75.6956,83.82,22,100,6.8,KZ,1690094905
100,ar ruseris,11.8659,34.3869,78.12,73,100,11.9,SD,1690094906
101,turan,16.0678,108.2208,89.58,66,20,11.5,VN,1690094907
102,west island,-12.1568,96.8225,80.58,78,75,11.5,CC,1690094907
103,port blair,11.6667,92.75,82.44,83,75,2.3,IN,1690094908
104,cidreira,-30.1811,-50.2056,62.92,83,42,8.08,BR,1690094908
105,uyskoye,54.3775,60.0047,71.94,39,7,16.42,RU,1690094909
106,ushuaia,-54.8,-68.3,29.86,80,0,12.66,AR,1690094874
107,ishigaki,24.3448,124.1572,89.73,70,75,8.05,JP,1690094910
108,fort st. john,56.2499,-120.8529,55.29,94,100,5.75,CA,1690094911
109,skeldon,5.8833,-57.1333,74.61,93,89,3.51,GY,1690094911
110,uturoa,-16.7333,-151.4333,76.53,76,100,14.12,PF,1690094912
111,mossendjo,-2.9506,12.7261,70.65,79,50,3.09,CG,1690094912
112,papatowai,-46.5619,169.4708,48.27,97,100,8.34,NZ,1690094913
113,utrik,11.2278,169.8474,83.61,72,86,18.75,MH,1690094914
114,isafjordur,66.0755,-23.124,50.58,89,100,2.3,IS,1690094914
115,ivdel',60.6911,60.4206,65.12,68,100,3.83,RU,1690094628
116,stanley,54.868,-1.6985,57.27,92,75,13.8,GB,1690094915
117,chonchi,-42.6128,-73.8092,34.12,88,41,1.72,CL,1690094895
118,lebu,-37.6167,-73.65,46.17,89,13,5.23,CL,1690094917
119,nabire,-3.3667,135.4833,83.19,78,54,4.34,ID,1690094759
120,koungou,-12.7336,45.2042,82.11,65,75,19.57,YT,1690094918
121,kodiak,57.79,-152.4072,56.71,82,0,0.0,US,1690094919
122,labrador city,52.9463,-66.9114,58.91,100,100,5.75,CA,1690094919
123,surubim,-7.8331,-35.7547,64.11,94,8,5.91,BR,1690094799
124,saynshand,44.8824,110.1163,81.84,27,100,10.45,MN,1690094922
125,college,64.8569,-147.8028,75.15,60,40,3.44,US,1690094923
126,talnakh,69.4865,88.3972,70.5,70,74,3.51,RU,1690094923
127,menaka,15.9182,2.4022,88.07,49,25,12.71,ML,1690094924
128,afaahiti,-17.75,-149.2833,71.47,68,100,11.34,PF,1690094924
129,arvika,59.6553,12.5852,56.01,77,5,1.48,SE,1690094925
130,kenora,49.8167,-94.4337,65.37,63,0,6.91,CA,1690094715
131,pandan,14.0453,124.1694,82.54,86,100,16.35,PH,1690094926
132,kapa'a,22.0752,-159.319,80.92,84,100,17.27,US,1690094927
133,mokhsogollokh,61.4681,128.9203,82.69,43,64,7.09,RU,1690094927
134,galliano,29.4422,-90.2992,78.01,85,100,4.0,US,1690094928
135,san luis de la loma,17.2706,-100.8939,78.17,83,98,4.81,MX,1690094928
136,broome,42.2506,-75.833,62.6,86,0,2.3,US,1690094929
137,djibo,14.1022,-1.6306,81.05,64,10,6.2,BF,1690094930
138,blackmans bay,-43.0167,147.3167,51.93,74,21,4.07,AU,1690094930
139,bubaque,11.2833,-15.8333,80.47,81,100,8.84,GW,1690094931
140,yerofey pavlovich,53.9667,121.9667,76.96,47,97,8.32,RU,1690094932
141,carnarvon,-24.8667,113.6333,75.25,26,0,11.48,AU,1690094932
142,daru,-9.0763,143.2092,78.03,71,100,11.03,PG,1690094933
143,kavieng,-2.5744,150.7967,82.62,77,100,8.3,PG,1690094933
144,greymouth,-42.4667,171.2,46.8,89,100,4.7,NZ,1690094934
145,hermanus,-34.4187,19.2345,49.8,71,100,10.11,ZA,1690094935
146,pirallahi,40.4723,50.333,89.74,64,97,9.31,AZ,1690094935
147,kenai,60.5544,-151.2583,62.69,81,0,11.5,US,1690094936
148,tralee,52.2704,-9.7026,58.96,97,100,5.55,IE,1690094936
149,lazaro cardenas,17.9583,-102.2,79.07,89,99,2.89,MX,1690094937
150,isangel,-19.55,169.2667,73.51,64,75,0.0,VU,1690094938
151,nova sintra,14.8667,-24.7167,72.27,73,40,15.03,CV,1690094938
152,bredasdorp,-34.5322,20.0403,50.67,86,100,6.29,ZA,1690094939
153,newman,37.3138,-121.0208,84.43,67,53,3.94,US,1690094939
154,mildura,-34.2,142.15,56.07,67,27,13.4,AU,1690094940
155,lakatoro,-16.0999,167.4164,72.88,81,100,10.09,VU,1690094940
156,la plata,-34.9215,-57.9545,52.83,77,9,8.32,AR,1690094941
157,pombas,17.1503,-25.0201,76.78,77,71,12.35,CV,1690094942
158,jinchang,38.4953,102.1739,91.69,15,100,10.45,CN,1690094942
159,ocean city,39.2776,-74.5746,72.99,78,5,6.13,US,1690094943
160,sauk rapids,45.5919,-94.1661,64.78,93,0,3.44,US,1690094944
161,fale old settlement,-9.3852,-171.2468,83.88,74,23,11.12,TK,1690094944
162,kasongo-lunda,-6.4667,16.8167,78.17,46,7,0.58,CD,1690094945
163,balqash,46.8481,74.995,90.19,13,0,4.47,KZ,1690094946
164,omdurman,15.6445,32.4777,93.06,39,59,19.89,SD,1690094946
165,aasiaat,68.7098,-52.8699,38.89,98,100,8.66,GL,1690094947
166,olinda,-8.0089,-34.8553,76.73,73,75,10.36,BR,1690094947
167,novosergiyevka,52.0934,53.6528,74.08,41,100,4.27,RU,1690094948
168,whitehorse,60.7161,-135.0538,57.97,100,100,1.01,CA,1690094929
169,nova vicosa,-17.8919,-39.3719,70.84,89,38,11.97,BR,1690094949
170,panchagarh,26.3313,88.562,95.0,53,100,6.42,BD,1690094949
171,minas de marcona,-15.2119,-75.1103,53.04,90,23,7.76,PE,1690094950
172,seminole,28.7086,-81.2081,78.42,90,0,0.0,US,1690094695
173,puerto ayora,-0.7393,-90.3518,76.01,80,28,11.21,EC,1690094766
174,filipstad,59.7124,14.1683,59.97,66,7,2.28,SE,1690094952
175,rongelap,11.1635,166.8941,83.57,74,29,17.76,MH,1690094953
176,vorgashor,67.5833,63.95,63.25,92,100,4.72,RU,1690094953
177,tubarjal,30.4999,38.216,92.57,19,0,10.58,SA,1690094954
178,saint-mandrier-sur-mer,43.078,5.929,85.77,60,0,4.61,FR,1690094954
179,harper,4.375,-7.7169,76.66,84,100,8.14,LR,1690094955
180,morrope,-6.5417,-80.0111,71.71,81,17,10.22,PE,1690094955
181,petropavlovsk-kamchatsky,53.0452,158.6483,72.19,68,20,8.95,RU,1690094956
182,santa elena de uairen,4.6167,-61.1333,65.44,92,53,1.83,VE,1690094957
183,aleg,17.0481,-13.9209,82.27,67,100,11.39,MR,1690094957
184,margaret river,-33.95,115.0667,62.22,61,0,12.71,AU,1690094958
185,boa vista,2.8197,-60.6733,75.18,94,75,0.0,BR,1690094958
186,el gouna,27.3942,33.6782,95.09,35,28,13.4,EG,1690094959
187,kasimov,54.9411,41.3953,72.1,51,23,7.56,RU,1690094959
188,sur,22.5667,59.5289,88.79,62,91,10.45,OM,1690094960
189,lancaster,40.2504,-76.2499,66.96,89,0,0.0,US,1690094960
190,kirensk,57.7853,108.1119,88.36,30,93,0.58,RU,1690094961
191,namibe,-15.1961,12.1522,65.89,67,62,7.52,AO,1690094962
192,xuddur,4.1213,43.8894,80.69,55,85,22.93,SO,1690094962
193,calvi,42.5,8.8333,81.23,32,0,5.75,FR,1690094963
194,zahedan,29.4963,60.8629,89.51,14,100,9.22,IR,1690094964
195,hithadhoo,-0.6,73.0833,82.98,74,11,6.82,MV,1690094965
196,dhidhdhoo,6.8833,73.1,83.34,81,65,15.26,MV,1690094965
197,machico,32.7,-16.7667,73.0,79,75,12.66,PT,1690094966
198,bodo,67.28,14.405,56.77,89,100,4.61,NO,1690094967
199,amarkantak,22.6667,81.75,79.2,73,89,9.53,IN,1690094967
200,shasta lake,40.6804,-122.3708,79.63,40,11,5.73,US,1690094968
201,olonkinbyen,70.9221,-8.7187,41.0,83,100,6.91,SJ,1690094968
202,umm kaddadah,13.6017,26.6876,84.76,52,45,11.52,SD,1690094969
203,kiunga,-6.1219,141.2906,75.4,86,100,2.19,PG,1690094969
204,tomatlan,19.9333,-105.25,75.6,91,100,3.58,MX,1690094970
205,tazovsky,67.4667,78.7,67.64,64,100,0.69,RU,1690094971
206,polyarnyy,69.1989,33.4478,50.31,77,100,15.43,RU,1690094971
207,shimoda,34.6667,138.95,85.1,71,60,6.53,JP,1690094972
208,kingston,17.997,-76.7936,83.35,83,20,6.91,JM,1690094972
209,taoudenni,22.6783,-3.9836,96.31,26,59,6.24,ML,1690094973
